year,station_id,day,ice_jam
2000,3019,1,0
2000,3019,2,0
2000,3019,3,0
2000,3019,4,0
2000,3019,5,0
2000,3019,6,0
2000,3019,7,0
2000,3019,8,0
2000,3019,9,0
2000,3019,10,0
2000,3019,11,0
2000,3019,12,0
2000,3019,13,0
2000,3019,14,0
2000,3019,15,0
2000,3019,16,0
2000,3019,17,0
2000,3019,18,0
2000,3019,19,0
2000,3019,20,0
2000,3019,21,0
2000,3019,22,0
2000,3019,23,0
2000,3019,24,0
2000,3019,25,0
2000,3019,26,0
2000,3019,27,0
2000,3019,28,0
2000,3019,29,0
2000,3019,30,0
2000,3019,31,0
2000,3019,32,0
2000,3019,33,0
2000,3019,34,0
2000,3019,35,0
2000,3019,36,0
2000,3019,37,0
2000,3019,38,0
2000,3019,39,0
2000,3019,40,0
2000,3019,41,0
2000,3019,42,0
2000,3019,43,0
2000,3019,44,0
2002,3019,0,0
2002,3019,1,0
2002,3019,2,0
2002,3019,3,0
2002,3019,4,0
2002,3019,5,0
2002,3019,6,0
2002,3019,7,0
2002,3019,8,0
2002,3019,9,0
2002,3019,10,0
2002,3019,11,0
2002,3019,12,0
2002,3019,13,0
2002,3019,14,0
2002,3019,15,0
2002,3019,16,0
2002,3019,17,0
2002,3019,18,0
2002,3019,19,0
2002,3019,20,0
2002,3019,21,0
2002,3019,22,0
2002,3019,23,0
2002,3019,24,0
2002,3019,25,0
2002,3019,26,0
2002,3019,27,0
2002,3019,28,0
2002,3019,29,0
2002,3019,30,0
2002,3019,31,0
2002,3019,32,0
2002,3019,33,0
2002,3019,34,0
2002,3019,35,0
2002,3019,36,0
2002,3019,37,0
2002,3019,38,0
2002,3019,39,0
2002,3019,40,0
2002,3019,41,0
2002,3019,42,0
2002,3019,43,0
2006,3019,0,0
2006,3019,1,0
2006,3019,2,0
2006,3019,3,0
2006,3019,4,0
2006,3019,5,0
2006,3019,6,0
2006,3019,7,0
2006,3019,8,0
2006,3019,9,0
2006,3019,10,0
2006,3019,11,0
2006,3019,12,0
2006,3019,13,0
2006,3019,14,0
2006,3019,15,0
2006,3019,16,0
2006,3019,17,0
2006,3019,18,0
2006,3019,19,0
2006,3019,20,0
